ticker,price
AMZN,210.11
ALL,206.37
CBOE,288.68
COP,110.53
CVX,183.93
GS,922.24
IBKR,74.39
JPM,310.79
LLY,1009.52
MET,79.10
PGR,204.08
SFM,67.48
TAC,13.50
XOM,147.28
