ticker,quantity,price_usd,currency,pct_exposure
AMZN,310.0,210.11,USD,1.0
NVDA,245.0,189.82,USD,1.0
META,34.0,655.66,USD,1.0
MSFT,50.0,397.23,USD,1.0
COST,9.0,985.27,USD,1.0
AAPL,13.0,264.58,USD,1.0
GOOGL,8.0,314.98,USD,1.0
JPM,9.0,310.79,USD,1.0
ETH-USD,21.0,1946.73,ETH,1.0
