,GOOGL,SIE.DE,ROG.SW,ASML,TCS.NS,GRAB,CEG
GOOGL,0.000441438417702,0.000101134984835,2.19290525009e-05,0.000300698141944,3.89057746397e-05,0.000248431819575,0.000199051535865
SIE.DE,0.000101134984835,0.000376966469033,5.7304064598e-05,0.000229021956604,7.01553672702e-05,0.00016557977254,8.21107148613e-05
ROG.SW,2.19290525009e-05,5.7304064598e-05,0.000162372306671,1.96142445075e-05,2.38013288301e-05,4.41890055847e-05,6.7907731521e-06
ASML,0.000300698141944,0.000229021956604,1.96142445075e-05,0.000746806845175,4.52864043973e-05,0.000342911814418,0.000291774786634
TCS.NS,3.89057746397e-05,7.01553672702e-05,2.38013288301e-05,4.52864043973e-05,0.000171476055151,3.6442026447e-05,3.62855210551e-05
GRAB,0.000248431819575,0.00016557977254,4.41890055847e-05,0.000342911814418,3.6442026447e-05,0.00163267338227,0.000176012605955
CEG,0.000199051535865,8.21107148613e-05,6.7907731521e-06,0.000291774786634,3.62855210551e-05,0.000176012605955,0.000906881839626
