Date,GOOGL,SIE.DE,ROG.SW,ASML,TCS.NS,GRAB,CEG
2010-01-04,15.59092903137207,32.74687194824219,104.27486419677734,32.55596923828125,295.3974914550781,,
2010-01-05,15.522272109985352,32.76688003540039,102.88990783691406,32.80958557128906,295.4761047363281,,
2010-01-06,15.130975723266602,32.886924743652344,103.58238220214844,33.11015319824219,288.7950134277344,,
2010-01-07,14.77873420715332,33.27706527709961,102.71678924560547,32.18964385986328,280.75823974609375,,
2010-01-08,14.975750923156738,33.48713684082031,103.00534057617188,31.41942024230957,275.02044677734375,,
2010-01-11,14.95311450958252,33.572174072265625,103.12071228027344,30.75252342224121,280.6796875,,
2010-01-12,14.68868350982666,33.162025451660156,102.65906524658203,30.79948616027832,294.7685546875,,
2010-01-13,14.604353904724121,33.46213150024414,103.23613739013672,31.654253005981445,309.8991394042969,,
2010-01-14,14.673011779785156,33.61219024658203,105.4866943359375,31.438213348388672,306.47991943359375,,
2010-01-15,14.427985191345215,33.227046966552734,106.40998077392578,30.743125915527344,311.0191345214844,,
2010-01-18,,33.40211486816406,105.7175064086914,,315.2635192871094,,
2010-01-19,14.617538452148438,33.77724075317383,107.04474639892578,30.761917114257812,306.81402587890625,,
2010-01-20,14.438183784484863,32.936946868896484,106.75618743896484,31.18459701538086,306.3031921386719,,
2010-01-21,14.502116203308105,32.386741638183594,107.33326721191406,31.156415939331055,302.8645324707031,,
2010-01-22,13.68195915222168,32.40174102783203,106.64079284667969,29.8038272857666,297.8339538574219,,
2010-01-25,13.432951927185059,32.31171798706055,104.73649597167969,30.339235305786133,297.1855773925781,,
2010-01-26,13.49315071105957,33.972312927246094,106.00601196289062,30.40497589111328,,,
2010-01-27,13.485190391540527,34.43064880371094,105.54435729980469,30.583446502685547,292.8904724121094,,
2010-01-28,13.290911674499512,33.3614387512207,104.3902587890625,29.982301712036133,292.27984619140625,,
2010-01-29,13.182701110839844,33.42826461791992,103.00534057617188,29.35297203063965,290.09283447265625,,
2010-02-01,13.259318351745605,33.43855667114258,103.40928649902344,30.019872665405273,294.013671875,,
2010-02-02,13.212053298950195,33.978294372558594,104.2171401977539,30.536481857299805,290.95977783203125,,
2010-02-03,13.453349113464355,33.654441833496094,103.58238220214844,30.658592224121094,296.69317626953125,,
2010-02-04,13.104093551635742,32.41045379638672,101.27412414550781,29.14632797241211,291.0780944824219,,
2010-02-05,13.216282844543457,31.701074600219727,97.98487854003906,29.19329261779785,285.08843994140625,,
2010-02-08,13.270511627197266,32.50275802612305,101.67806243896484,28.72364616394043,285.3447265625,,
2010-02-09,13.344392776489258,32.72096252441406,101.620361328125,29.559608459472656,289.67913818359375,,
2010-02-10,13.294891357421875,32.731361389160156,100.985595703125,29.57840347290039,288.5560302734375,,
2010-02-11,13.343399047851562,32.76772689819336,100.985595703125,29.672332763671875,292.6541442871094,,
2010-02-12,13.26180648803711,32.284549713134766,102.88990783691406,29.54082489013672,,,
2010-02-15,,32.601470947265625,103.23613739013672,,294.013671875,,
2010-02-16,13.465291023254395,32.861244201660156,103.17842864990234,30.198331832885742,298.7420959472656,,
2010-02-17,13.388423919677734,33.406768798828125,104.56336212158203,29.822616577148438,298.9389953613281,,
2010-02-18,13.513051986694336,33.858768463134766,105.19815063476562,30.141983032226562,298.9981689453125,,
2010-02-19,13.45185661315918,33.94709777832031,106.17915344238281,29.86958122253418,295.74737548828125,,
2010-02-22,13.502603530883789,33.770442962646484,104.8519058227539,30.07622718811035,298.3874816894531,,
2010-02-23,13.31031322479248,33.152191162109375,103.29383087158203,28.958467483520508,300.2985534667969,,
2010-02-24,13.2207612991333,33.33922576904297,103.5246810913086,29.12754249572754,301.5791015625,,
2010-02-25,13.095386505126953,32.37807083129883,102.65906524658203,28.84575843811035,301.9338684082031,,
2010-02-26,13.10459041595459,32.726158142089844,103.5246810913086,28.958467483520508,300.1803283691406,,
2010-03-01,13.25110912322998,33.65095138549805,105.02503967285156,29.625370025634766,,,
2010-03-02,13.459319114685059,34.24323272705078,106.75618743896484,30.921588897705078,300.7318115234375,,
2010-03-03,13.565291404724121,34.913448333740234,107.16014862060547,31.297317504882812,302.9188232421875,,
2010-03-04,13.795889854431152,34.5237922668457,107.39869689941406,30.996746063232422,301.00787353515625,,
2010-03-05,14.035195350646973,35.04853057861328,107.69684600830078,31.757570266723633,300.4954833984375,,
2010-03-08,13.992159843444824,34.84591293334961,107.63720703125,32.27418518066406,300.5348815917969,,
2010-03-09,13.935194969177246,34.83551788330078,107.69684600830078,31.982995986938477,302.8991394042969,,
2010-03-10,14.339675903320312,35.214786529541016,106.56382751464844,32.396305084228516,307.3714294433594,,
2010-03-11,14.456343650817871,34.92384338378906,106.62344360351562,32.38689041137695,311.9227294921875,,
2010-03-12,14.41654109954834,35.52651596069336,103.40326690673828,32.349327087402344,314.0308837890625,,
2010-03-15,14.009573936462402,35.17322540283203,103.99961853027344,31.456995010375977,322.32537841796875,,
2010-03-16,14.059822082519531,36.19672775268555,103.99961853027344,32.114498138427734,326.65985107421875,,
2010-03-17,14.068778991699219,37.35531234741211,103.52254486083984,32.415077209472656,331.2701416015625,,
2010-03-18,14.08967399597168,37.277381896972656,104.17852020263672,31.97361183166504,325.4185485839844,,
2010-03-19,13.930468559265137,37.03319549560547,104.95372772216797,31.5791015625,323.46820068359375,,
2010-03-22,13.868278503417969,37.01241683959961,104.41705322265625,32.405677795410156,326.108154296875,,
2010-03-23,13.656834602355957,37.30855178833008,103.76110076904297,33.25104904174805,326.5218811035156,,
