Portfolio,Return,Risk,GOOGL,SIE.DE,ROG.SW,ASML,TCS.NS,GRAB,CEG
min-risk,0.008970640941,0.145055844627,0.0973383656091,0.0437167713952,0.429043560929,0.00403412132109,0.375604296626,0.00626794909806,0.0439949350211
mid-return,0.265127578908,0.231271222125,0.167833703664,0.351759813487,-0.0358510360807,-0.0345361718911,0.267833385543,-0.0367138163445,0.319674121623
max-return,0.527688440324,0.393728563987,0.24009142517,0.667503931631,-0.512367998016,-0.0740707224336,0.157368201682,-0.0807701259231,0.602245287889
